rank_ecr,player_name,player_short_name,player_team_id,player_positions,player_opponent,pos_rank,r2p_pts,rank_min,rank_max,rank_ave,rank_std,player_bye_week,player_owned_avg,player_page_url,player_id
1,Denver Broncos,DEN DST,DEN,DST,vs. CIN,DST1,9.8,1,3,1.50,0.71,12,86.1,https://www.fantasypros.com/nfl/players/denver-defense.php,8090
2,Buffalo Bills,BUF DST,BUF,DST,vs. NO,DST2,9.5,2,4,2.75,0.83,7,73.9,https://www.fantasypros.com/nfl/players/buffalo-defense.php,8030
3,Houston Texans,HOU DST,HOU,DST,vs. TEN,DST3,9.4,1,4,2.88,0.93,6,58.5,https://www.fantasypros.com/nfl/players/houston-defense.php,8120
4,Detroit Lions,DET DST,DET,DST,vs. CLE,DST4,9.0,2,8,4.00,1.87,8,54.9,https://www.fantasypros.com/nfl/players/detroit-defense.php,8100
5,Los Angeles Chargers,LAC DST,LAC,DST,at NYG,DST5,7.9,4,6,5.38,0.70,12,37.8,https://www.fantasypros.com/nfl/players/los-angeles-chargers-defense.php,8250
6,Minnesota Vikings,MIN DST,MIN,DST,at PIT,DST6,7.8,6,8,6.63,0.70,6,81.5,https://www.fantasypros.com/nfl/players/minnesota-defense.php,8170
7,Green Bay Packers,GB DST,GB,DST,at DAL,DST7,7.4,4,10,7.13,2.15,5,77.3,https://www.fantasypros.com/nfl/players/green-bay-defense.php,8110
8,Philadelphia Eagles,PHI DST,PHI,DST,at TB,DST8,7.2,6,10,8.50,1.41,9,93,https://www.fantasypros.com/nfl/players/philadelphia-defense.php,8230
9,New England Patriots,NE DST,NE,DST,vs. CAR,DST9,6.9,7,11,8.75,1.39,14,13.2,https://www.fantasypros.com/nfl/players/new-england-defense.php,8180
10,Pittsburgh Steelers,PIT DST,PIT,DST,vs. MIN,DST10,6.9,7,13,10.75,1.98,5,86.4,https://www.fantasypros.com/nfl/players/pittsburgh-defense.php,8240
11,San Francisco 49ers,SF DST,SF,DST,vs. JAC,DST11,6.9,9,18,11.25,2.77,14,49.8,https://www.fantasypros.com/nfl/players/san-francisco-defense.php,8270
12,Seattle Seahawks,SEA DST,SEA,DST,at ARI,DST12,6.7,9,14,11.25,1.71,8,59.6,https://www.fantasypros.com/nfl/players/seattle-defense.php,8260
13,Washington Commanders,WAS DST,WAS,DST,at ATL,DST13,6.5,13,18,14.88,1.83,12,32.8,https://www.fantasypros.com/nfl/players/washington-defense.php,8310
14,Arizona Cardinals,ARI DST,ARI,DST,vs. SEA,DST14,6.5,11,21,15.00,3.28,8,30.5,https://www.fantasypros.com/nfl/players/arizona-defense.php,8000
15,Baltimore Ravens,BAL DST,BAL,DST,at KC,DST15,6.4,12,18,15.38,1.65,7,91.5,https://www.fantasypros.com/nfl/players/baltimore-defense.php,8020
16,Tennessee Titans,TEN DST,TEN,DST,at HOU,DST16,6.4,13,18,15.75,1.48,10,7.5,https://www.fantasypros.com/nfl/players/tennessee-defense.php,8300
