rank_ecr,player_name,player_short_name,player_team_id,player_positions,player_opponent,pos_rank,r2p_pts,rank_min,rank_max,rank_ave,rank_std,player_bye_week,player_owned_avg,player_page_url,player_id
1,Josh Allen,J. Allen,BUF,QB,vs. NO,QB1,24.2,1,2,1.38,0.49,7,99.8,https://www.fantasypros.com/nfl/players/josh-allen-qb.php,17298
2,Lamar Jackson,L. Jackson,BAL,QB,at KC,QB2,22.4,1,2,1.69,0.46,7,99.8,https://www.fantasypros.com/nfl/players/lamar-jackson.php,17233
3,Jalen Hurts,J. Hurts,PHI,QB,at TB,QB3,21.4,3,4,3.15,0.36,9,99.7,https://www.fantasypros.com/nfl/players/jalen-hurts.php,19275
4,Justin Herbert,J. Herbert,LAC,QB,at NYG,QB4,20.6,3,5,4.08,0.47,12,90.6,https://www.fantasypros.com/nfl/players/justin-herbert.php,18635
5,Caleb Williams,C. Williams,CHI,QB,at LV,QB5,20.0,5,7,5.62,0.74,5,78.3,https://www.fantasypros.com/nfl/players/caleb-williams.php,23084
6,Drake Maye,D. Maye,NE,QB,vs. CAR,QB6,19.8,6,9,6.92,1.00,14,80.1,https://www.fantasypros.com/nfl/players/drake-maye.php,23046
7,Patrick Mahomes II,P. Mahomes II,KC,QB,vs. BAL,QB7,19.7,7,10,8.08,1.14,10,98.9,https://www.fantasypros.com/nfl/players/patrick-mahomes.php,16413
8,Jordan Love,J. Love,GB,QB,at DAL,QB8,19.4,7,13,9.46,1.50,5,73.9,https://www.fantasypros.com/nfl/players/jordan-love.php,19246
9,Daniel Jones,D. Jones,IND,QB,at LAR,QB9,19.2,8,12,9.77,1.05,11,30,https://www.fantasypros.com/nfl/players/daniel-jones.php,18232
10,Bo Nix,Bo Nix,DEN,QB,vs. CIN,QB10,19.0,8,12,10.38,1.44,12,93.9,https://www.fantasypros.com/nfl/players/bo-nix.php,22910
11,Baker Mayfield,B. Mayfield,TB,QB,vs. PHI,QB11,18.7,11,17,13.92,2.09,9,97.6,https://www.fantasypros.com/nfl/players/baker-mayfield.php,17237
12,Jared Goff,J. Goff,DET,QB,vs. CLE,QB12,18.4,13,17,14.00,1.18,8,83.7,https://www.fantasypros.com/nfl/players/jared-goff.php,15501
13,Kyler Murray,K. Murray,ARI,QB,vs. SEA,QB13,18.1,11,16,14.38,1.27,8,92.2,https://www.fantasypros.com/nfl/players/kyler-murray.php,18600
14,Jayden Daniels,J. Daniels,WAS,QB,at ATL,QB14,17.8,4,65,11.91,16.91,12,99,https://www.fantasypros.com/nfl/players/jayden-daniels.php,22902
15,Brock Purdy,B. Purdy,SF,QB,vs. JAC,QB15,17.6,9,68,17.62,14.93,14,86.9,https://www.fantasypros.com/nfl/players/brock-purdy.php,19797
16,Geno Smith,G. Smith,LV,QB,vs. CHI,QB16,17.4,14,18,16.23,1.48,8,20.5,https://www.fantasypros.com/nfl/players/geno-smith.php,11687
17,Dak Prescott,D. Prescott,DAL,QB,vs. GB,QB17,17.2,15,25,17.85,2.54,10,87.5,https://www.fantasypros.com/nfl/players/dak-prescott.php,15600
18,Matthew Stafford,M. Stafford,LAR,QB,vs. IND,QB18,16.8,13,22,17.92,2.46,8,31.8,https://www.fantasypros.com/nfl/players/matthew-stafford.php,9451
19,C.J. Stroud,C.J. Stroud,HOU,QB,vs. TEN,QB19,16.5,15,23,19.69,2.20,6,70.7,https://www.fantasypros.com/nfl/players/cj-stroud.php,23071
20,Justin Fields,J. Fields,NYJ,QB,at MIA,QB20,16.2,8,26,17.00,4.63,9,68.8,https://www.fantasypros.com/nfl/players/justin-fields.php,19781
21,Sam Darnold,S. Darnold,SEA,QB,at ARI,QB21,15.9,17,26,21.00,2.32,8,17.5,https://www.fantasypros.com/nfl/players/sam-darnold.php,17236
22,Michael Penix Jr.,M. Penix Jr.,ATL,QB,vs. WAS,QB22,15.6,19,25,21.46,1.65,5,30.2,https://www.fantasypros.com/nfl/players/michael-penix-jr.php,22973
23,Bryce Young,B. Young,CAR,QB,at NE,QB23,15.4,22,26,23.46,1.28,14,22.4,https://www.fantasypros.com/nfl/players/bryce-young.php,22900
24,Tua Tagovailoa,T. Tagovailoa,MIA,QB,vs. NYJ,QB24,15.2,22,27,24.08,1.44,12,28.4,https://www.fantasypros.com/nfl/players/tua-tagovailoa.php,19198
25,Carson Wentz,C. Wentz,MIN,QB,at PIT,QB25,15.0,19,28,25.08,2.59,6,2.5,https://www.fantasypros.com/nfl/players/carson-wentz.php,15520
26,Trevor Lawrence,T. Lawrence,JAC,QB,at SF,QB26,14.7,22,29,26.15,2.07,8,41.8,https://www.fantasypros.com/nfl/players/trevor-lawrence.php,19780
27,Joe Flacco,J. Flacco,CLE,QB,at DET,QB27,14.4,26,30,27.85,1.03,9,5.1,https://www.fantasypros.com/nfl/players/joe-flacco.php,9300
28,Cam Ward,C. Ward,TEN,QB,at HOU,QB28,13.9,25,31,29.23,1.76,10,24.5,https://www.fantasypros.com/nfl/players/cam-ward.php,24755
29,Aaron Rodgers,A. Rodgers,PIT,QB,vs. MIN,QB29,13.4,27,31,29.46,1.22,5,23.7,https://www.fantasypros.com/nfl/players/aaron-rodgers.php,9001
30,Jake Browning,J. Browning,CIN,QB,at DEN,QB30,12.8,21,32,30.00,2.80,10,18.1,https://www.fantasypros.com/nfl/players/jake-browning.php,18557
31,Marcus Mariota,M. Mariota,WAS,QB,at ATL,QB31,12.1,16,36,29.92,7.32,12,5.5,https://www.fantasypros.com/nfl/players/marcus-mariota.php,13890
32,Spencer Rattler,S. Rattler,NO,QB,at BUF,QB32,11.3,31,33,32.08,0.73,11,3.7,https://www.fantasypros.com/nfl/players/spencer-rattler.php,23081
33,Tyrod Taylor,T. Taylor,NYJ,QB,at MIA,QB33,2.3,17,57,32.75,9.03,9,1.5,https://www.fantasypros.com/nfl/players/tyrod-taylor.php,10007
34,Russell Wilson,R. Wilson,NYG,QB,vs. LAC,QB34,1.4,21,33,27.25,4.41,14,15.4,https://www.fantasypros.com/nfl/players/russell-wilson.php,11180
35,Jaxson Dart,J. Dart,NYG,QB,vs. LAC,QB35,1.0,23,35,28.38,3.77,14,7.7,https://www.fantasypros.com/nfl/players/jaxson-dart.php,23160
36,Mac Jones,M. Jones,SF,QB,vs. JAC,QB36,0.7,27,35,32.90,2.34,14,5.1,https://www.fantasypros.com/nfl/players/mac-jones.php,20156
37,Jalen Milroe,J. Milroe,SEA,QB,at ARI,QB37,0.5,33,38,35.00,1.87,8,1.6,https://www.fantasypros.com/nfl/players/jalen-milroe.php,22884
38,Tyler Shough,T. Shough,NO,QB,at BUF,QB38,0.5,36,48,39.40,4.45,11,1.7,https://www.fantasypros.com/nfl/players/tyler-shough.php,23096
39,Mitchell Trubisky,M. Trubisky,BUF,QB,vs. NO,QB39,0.5,34,39,36.50,2.50,7,0.6,https://www.fantasypros.com/nfl/players/mitch-trubisky.php,16381
40,Dillon Gabriel,D. Gabriel,CLE,QB,at DET,QB40,0.5,36,50,41.00,6.38,9,1,https://www.fantasypros.com/nfl/players/dillon-gabriel.php,23150
41,Zach Wilson,Z. Wilson,MIA,QB,vs. NYJ,QB41,0.5,35,39,37.00,2.00,12,0.6,https://www.fantasypros.com/nfl/players/zach-wilson.php,22679
42,Anthony Richardson Sr.,A. Richardson Sr.,IND,QB,at LAR,QB42,0.5,37,37,37.00,0.00,11,6.5,https://www.fantasypros.com/nfl/players/anthony-richardson.php,24347
43,Jimmy Garoppolo,J. Garoppolo,LAR,QB,vs. IND,QB43,0.4,36,40,38.00,2.00,8,0.9,https://www.fantasypros.com/nfl/players/jimmy-garoppolo.php,12208
44,Jacoby Brissett,J. Brissett,ARI,QB,vs. SEA,QB44,0.4,37,79,58.00,21.00,8,1,https://www.fantasypros.com/nfl/players/jacoby-brissett.php,15642
45,Joe Milton III,J. Milton III,DAL,QB,vs. GB,QB45,0.4,41,62,51.50,10.50,10,0.8,https://www.fantasypros.com/nfl/players/joe-milton.php,25967
