rank_ecr,player_name,player_short_name,player_team_id,player_positions,player_opponent,pos_rank,r2p_pts,rank_min,rank_max,rank_ave,rank_std,player_bye_week,player_owned_avg,player_page_url,player_id
1,Christian McCaffrey,C. McCaffrey,SF,RB,vs. JAC,RB1,19.7,1,2,1.15,0.36,14,99.8,https://www.fantasypros.com/nfl/players/christian-mccaffrey.php,16393
2,Bijan Robinson,B. Robinson,ATL,RB,vs. WAS,RB2,17.1,1,3,2.00,0.55,5,99.8,https://www.fantasypros.com/nfl/players/bijan-robinson.php,23133
3,Jonathan Taylor,J. Taylor,IND,RB,at LAR,RB3,17.0,2,4,2.92,0.47,11,99.6,https://www.fantasypros.com/nfl/players/jonathan-taylor.php,19217
4,Saquon Barkley,S. Barkley,PHI,RB,at TB,RB4,17.0,4,6,4.62,0.74,9,99.8,https://www.fantasypros.com/nfl/players/saquon-barkley.php,17240
5,James Cook III,J. Cook III,BUF,RB,vs. NO,RB5,16.6,3,8,5.00,1.11,7,99.4,https://www.fantasypros.com/nfl/players/james-cook.php,22958
6,Jahmyr Gibbs,J. Gibbs,DET,RB,vs. CLE,RB6,16.3,5,9,6.69,1.07,8,99.8,https://www.fantasypros.com/nfl/players/jahmyr-gibbs.php,22968
7,Derrick Henry,D. Henry,BAL,RB,at KC,RB7,15.8,6,10,7.54,1.28,7,99.8,https://www.fantasypros.com/nfl/players/derrick-henry.php,15514
8,Josh Jacobs,J. Jacobs,GB,RB,at DAL,RB8,15.8,6,9,7.77,1.05,5,99.7,https://www.fantasypros.com/nfl/players/josh-jacobs.php,18269
9,De'Von Achane,D. Achane,MIA,RB,vs. NYJ,RB9,15.4,4,10,8.15,1.56,12,99.7,https://www.fantasypros.com/nfl/players/devon-achane.php,23136
10,Bucky Irving,B. Irving,TB,RB,vs. PHI,RB10,15.3,10,13,10.92,0.92,9,99.6,https://www.fantasypros.com/nfl/players/bucky-irving.php,25981
11,Jordan Mason,J. Mason,MIN,RB,at PIT,RB11,14.4,7,13,11.00,1.47,6,83,https://www.fantasypros.com/nfl/players/jordan-mason.php,22969
12,Omarion Hampton,O. Hampton,LAC,RB,at NYG,RB12,14.1,9,19,12.69,2.40,12,97.8,https://www.fantasypros.com/nfl/players/omarion-hampton.php,25395
13,Kyren Williams,K. Williams,LAR,RB,vs. IND,RB13,13.5,10,19,13.23,2.12,8,99.5,https://www.fantasypros.com/nfl/players/kyren-williams.php,23059
14,Kenneth Walker III,K. Walker III,SEA,RB,at ARI,RB14,13.4,13,17,14.23,1.25,8,97.8,https://www.fantasypros.com/nfl/players/kenneth-walker-rb.php,23021
15,Ashton Jeanty,A. Jeanty,LV,RB,vs. CHI,RB15,13.4,12,18,15.77,1.48,8,99.5,https://www.fantasypros.com/nfl/players/ashton-jeanty.php,25989
16,Breece Hall,B. Hall,NYJ,RB,at MIA,RB16,13.2,15,21,17.46,1.99,9,97.6,https://www.fantasypros.com/nfl/players/breece-hall.php,22982
17,Chuba Hubbard,C. Hubbard,CAR,RB,at NE,RB17,12.9,15,24,18.92,2.95,14,98.2,https://www.fantasypros.com/nfl/players/chuba-hubbard.php,19792
18,Chase Brown,C. Brown,CIN,RB,at DEN,RB18,12.7,13,24,19.38,3.13,10,99.3,https://www.fantasypros.com/nfl/players/chase-brown.php,25324
19,Javonte Williams,J. Williams,DAL,RB,vs. GB,RB19,12.6,16,26,19.85,2.54,10,89.9,https://www.fantasypros.com/nfl/players/javonte-williams.php,22739
20,Travis Etienne Jr.,T. Etienne Jr.,JAC,RB,at SF,RB20,12.4,16,25,20.31,2.58,8,88.3,https://www.fantasypros.com/nfl/players/travis-etienne.php,19231
21,Trey Benson,T. Benson,ARI,RB,vs. SEA,RB21,11.9,15,25,20.54,2.93,8,55.6,https://www.fantasypros.com/nfl/players/trey-benson.php,25388
