rank_ecr,player_name,player_short_name,player_team_id,player_positions,player_opponent,pos_rank,r2p_pts,rank_min,rank_max,rank_ave,rank_std,player_bye_week,player_owned_avg,player_page_url,player_id
1,Jonathan Taylor,J. Taylor,IND,RB,at LAR,RB1,17.1,1,3,1.55,0.78,11,99.6,https://www.fantasypros.com/nfl/players/jonathan-taylor.php,19217
2,Bijan Robinson,B. Robinson,ATL,RB,vs. WAS,RB2,16.0,1,3,2.09,0.51,5,99.8,https://www.fantasypros.com/nfl/players/bijan-robinson.php,23133
3,Christian McCaffrey,C. McCaffrey,SF,RB,vs. JAC,RB3,15.8,2,3,2.82,0.39,14,99.8,https://www.fantasypros.com/nfl/players/christian-mccaffrey.php,16393
4,Saquon Barkley,S. Barkley,PHI,RB,at TB,RB4,15.3,4,6,4.55,0.78,9,99.8,https://www.fantasypros.com/nfl/players/saquon-barkley.php,17240
5,James Cook III,J. Cook III,BUF,RB,vs. NO,RB5,15.1,2,8,5.00,1.41,7,99.4,https://www.fantasypros.com/nfl/players/james-cook.php,22958
6,Derrick Henry,D. Henry,BAL,RB,at KC,RB6,14.8,5,7,5.73,0.62,7,99.8,https://www.fantasypros.com/nfl/players/derrick-henry.php,15514
7,Jahmyr Gibbs,J. Gibbs,DET,RB,vs. CLE,RB7,14.7,6,9,7.55,1.08,8,99.8,https://www.fantasypros.com/nfl/players/jahmyr-gibbs.php,22968
8,Josh Jacobs,J. Jacobs,GB,RB,at DAL,RB8,14.4,7,9,7.73,0.62,5,99.7,https://www.fantasypros.com/nfl/players/josh-jacobs.php,18269
9,Jordan Mason,J. Mason,MIN,RB,at PIT,RB9,14.3,7,13,9.55,1.44,6,83,https://www.fantasypros.com/nfl/players/jordan-mason.php,22969
10,Bucky Irving,B. Irving,TB,RB,vs. PHI,RB10,13.4,10,13,10.91,0.90,9,99.6,https://www.fantasypros.com/nfl/players/bucky-irving.php,25981
11,De'Von Achane,D. Achane,MIA,RB,vs. NYJ,RB11,12.9,8,12,11.09,1.24,12,99.7,https://www.fantasypros.com/nfl/players/devon-achane.php,23136
12,Omarion Hampton,O. Hampton,LAC,RB,at NYG,RB12,12.8,9,16,11.55,1.83,12,97.8,https://www.fantasypros.com/nfl/players/omarion-hampton.php,25395
13,Kyren Williams,K. Williams,LAR,RB,vs. IND,RB13,12.4,10,16,12.73,1.42,8,99.5,https://www.fantasypros.com/nfl/players/kyren-williams.php,23059
14,Kenneth Walker III,K. Walker III,SEA,RB,at ARI,RB14,12.3,13,16,14.18,0.83,8,97.8,https://www.fantasypros.com/nfl/players/kenneth-walker-rb.php,23021
15,Ashton Jeanty,A. Jeanty,LV,RB,vs. CHI,RB15,12.0,12,17,15.27,1.42,8,99.5,https://www.fantasypros.com/nfl/players/ashton-jeanty.php,25989
16,Breece Hall,B. Hall,NYJ,RB,at MIA,RB16,11.8,15,20,17.64,1.61,9,97.6,https://www.fantasypros.com/nfl/players/breece-hall.php,22982
17,Chuba Hubbard,C. Hubbard,CAR,RB,at NE,RB17,11.5,15,22,18.64,2.50,14,98.2,https://www.fantasypros.com/nfl/players/chuba-hubbard.php,19792
