rank_ecr,player_name,player_short_name,player_team_id,player_positions,player_opponent,pos_rank,r2p_pts,rank_min,rank_max,rank_ave,rank_std,player_bye_week,player_owned_avg,player_page_url,player_id
1,Trey McBride,T. McBride,ARI,TE,vs. SEA,TE1,11.4,1,2,1.08,0.27,8,99.7,https://www.fantasypros.com/nfl/players/trey-mcbride.php,22936
2,Brock Bowers,B. Bowers,LV,TE,vs. CHI,TE2,11.1,1,3,2.00,0.39,8,99.7,https://www.fantasypros.com/nfl/players/brock-bowers.php,22955
3,Tyler Warren,T. Warren,IND,TE,at LAR,TE3,10.4,3,5,3.77,0.80,11,93.4,https://www.fantasypros.com/nfl/players/tyler-warren.php,26434
4,Tucker Kraft,T. Kraft,GB,TE,at DAL,TE4,9.3,3,5,4.23,0.70,5,88,https://www.fantasypros.com/nfl/players/tucker-kraft.php,25298
5,Jake Ferguson,J. Ferguson,DAL,TE,vs. GB,TE5,9.2,3,6,4.31,0.91,10,75.6,https://www.fantasypros.com/nfl/players/jake-ferguson.php,22718
6,Sam LaPorta,S. LaPorta,DET,TE,vs. CLE,TE6,8.8,4,9,6.46,1.28,8,99.2,https://www.fantasypros.com/nfl/players/sam-laporta.php,22978
7,Hunter Henry,H. Henry,NE,TE,vs. CAR,TE7,8.3,6,10,7.46,1.15,14,48.8,https://www.fantasypros.com/nfl/players/hunter-henry.php,15561
8,Dalton Kincaid,D. Kincaid,BUF,TE,vs. NO,TE8,8.2,7,11,8.38,1.39,7,77.2,https://www.fantasypros.com/nfl/players/dalton-kincaid.php,25247
9,T.J. Hockenson,T.J. Hockenson,MIN,TE,at PIT,TE9,8.0,8,11,9.00,0.78,6,96.5,https://www.fantasypros.com/nfl/players/tj-hockenson.php,18290
10,Juwan Johnson,J. Johnson,NO,TE,at BUF,TE10,7.7,7,14,10.62,1.55,11,29,https://www.fantasypros.com/nfl/players/juwan-johnson.php,19562
11,Kyle Pitts Sr.,K. Pitts Sr.,ATL,TE,vs. WAS,TE11,7.6,9,13,11.85,1.17,5,73.5,https://www.fantasypros.com/nfl/players/kyle-pitts.php,20164
12,Travis Kelce,T. Kelce,KC,TE,vs. BAL,TE12,7.5,10,15,11.85,1.46,10,98.2,https://www.fantasypros.com/nfl/players/travis-kelce.php,11594
13,Zach Ertz,Z. Ertz,WAS,TE,at ATL,TE13,7.4,9,14,12.15,1.46,12,65.4,https://www.fantasypros.com/nfl/players/zach-ertz.php,11689
14,Mark Andrews,M. Andrews,BAL,TE,at KC,TE14,7.2,8,15,12.62,2.17,7,88.7,https://www.fantasypros.com/nfl/players/mark-andrews.php,17269
15,David Njoku,D. Njoku,CLE,TE,at DET,TE15,6.9,14,18,15.62,1.33,9,92.6,https://www.fantasypros.com/nfl/players/david-njoku.php,16399
16,Harold Fannin Jr.,H. Fannin Jr.,CLE,TE,at DET,TE16,6.8,14,19,16.00,1.18,9,38.5,https://www.fantasypros.com/nfl/players/harold-fannin-jr.php,27050
17,Dallas Goedert,D. Goedert,PHI,TE,at TB,TE17,6.8,16,18,16.62,0.62,9,72.1,https://www.fantasypros.com/nfl/players/dallas-goedert.php,17270
18,Brenton Strange,B. Strange,JAC,TE,at SF,TE18,6.5,17,21,18.62,1.15,8,25.9,https://www.fantasypros.com/nfl/players/brenton-strange.php,25345
19,Chig Okonkwo,C. Okonkwo,TEN,TE,at HOU,TE19,6.3,18,20,19.23,0.70,10,22.2,https://www.fantasypros.com/nfl/players/chigoziem-okonkwo.php,23982
20,Jonnu Smith,J. Smith,PIT,TE,vs. MIN,TE20,6.1,16,21,19.85,1.35,5,42,https://www.fantasypros.com/nfl/players/jonnu-smith.php,16460
21,Cade Otton,C. Otton,TB,TE,vs. PHI,TE21,6.0,17,24,20.92,1.94,9,15.4,https://www.fantasypros.com/nfl/players/cade-otton.php,23181
22,Dalton Schultz,D. Schultz,HOU,TE,vs. TEN,TE22,5.9,20,26,22.15,1.51,6,13.5,https://www.fantasypros.com/nfl/players/dalton-schultz.php,17349
23,Jake Tonges,J. Tonges,SF,TE,vs. JAC,TE23,5.2,23,28,24.62,1.78,14,4.6,https://www.fantasypros.com/nfl/players/jake-tonges.php,24778
24,Pat Freiermuth,P. Freiermuth,PIT,TE,vs. MIN,TE24,5.2,23,28,25.54,1.28,5,14,https://www.fantasypros.com/nfl/players/pat-freiermuth.php,20163
25,Theo Johnson,T. Johnson,NYG,TE,vs. LAC,TE25,4.7,24,32,26.38,2.34,14,4.2,https://www.fantasypros.com/nfl/players/theo-johnson.php,23104
26,Colston Loveland,C. Loveland,CHI,TE,at LV,TE26,4.7,22,35,27.00,3.04,5,57.3,https://www.fantasypros.com/nfl/players/colston-loveland.php,26006
27,Mike Gesicki,M. Gesicki,CIN,TE,at DEN,TE27,4.5,25,31,27.54,1.69,10,5.5,https://www.fantasypros.com/nfl/players/mike-gesicki.php,17272
28,Cole Kmet,C. Kmet,CHI,TE,at LV,TE28,4.5,22,32,27.77,3.12,5,4,https://www.fantasypros.com/nfl/players/cole-kmet.php,19229
29,AJ Barner,AJ Barner,SEA,TE,at ARI,TE29,4.3,26,37,29.92,2.70,8,1.2,https://www.fantasypros.com/nfl/players/aj-barner.php,26335
30,Mason Taylor,M. Taylor,NYJ,TE,at MIA,TE30,4.1,23,36,30.38,2.95,9,7.8,https://www.fantasypros.com/nfl/players/mason-taylor.php,26005
31,Noah Gray,N. Gray,KC,TE,vs. BAL,TE31,4.0,30,42,32.23,3.12,10,1.6,https://www.fantasypros.com/nfl/players/noah-gray.php,19539
32,Oronde Gadsden II,O. Gadsden II,LAC,TE,at NYG,TE32,4.0,24,41,33.38,4.14,12,1,https://www.fantasypros.com/nfl/players/oronde-gadsden-ii.php,25997
33,Adam Trautman,A. Trautman,DEN,TE,vs. CIN,TE33,3.8,32,47,36.00,4.99,12,0.7,https://www.fantasypros.com/nfl/players/adam-trautman.php,19423
34,Noah Fant,N. Fant,CIN,TE,at DEN,TE34,3.8,32,51,36.23,4.79,10,2.4,https://www.fantasypros.com/nfl/players/noah-fant.php,17527
35,Tyler Higbee,T. Higbee,LAR,TE,vs. IND,TE35,3.7,26,36,32.60,3.85,8,3.9,https://www.fantasypros.com/nfl/players/tyler-higbee.php,15623
36,Ja'Tavion Sanders,J. Sanders,CAR,TE,at NE,TE36,3.5,22,99,37.20,21.30,14,6.5,https://www.fantasypros.com/nfl/players/jatavion-sanders.php,24334
37,Tommy Tremble,T. Tremble,CAR,TE,at NE,TE37,3.4,34,42,37.00,2.93,14,0.6,https://www.fantasypros.com/nfl/players/tommy-tremble.php,22795
38,Austin Hooper,A. Hooper,NE,TE,vs. CAR,TE38,3.4,32,44,35.83,4.30,14,0.6,https://www.fantasypros.com/nfl/players/austin-hooper.php,15581
39,Dawson Knox,D. Knox,BUF,TE,vs. NO,TE39,3.4,33,40,37.17,2.48,7,1.2,https://www.fantasypros.com/nfl/players/dawson-knox.php,18631
40,Tyler Conklin,T. Conklin,LAC,TE,at NYG,TE40,3.4,32,53,38.83,6.69,12,1.1,https://www.fantasypros.com/nfl/players/tyler-conklin.php,17598
41,Elijah Arroyo,E. Arroyo,SEA,TE,at ARI,TE41,3.0,35,44,40.00,2.83,8,4.4,https://www.fantasypros.com/nfl/players/elijah-arroyo.php,23004
42,Tanner Conner,T. Conner,MIA,TE,vs. NYJ,TE42,3.0,38,45,42.67,2.62,12,1,https://www.fantasypros.com/nfl/players/tanner-conner.php,24216
43,Elijah Higgins,E. Higgins,ARI,TE,vs. SEA,TE43,3.0,40,51,45.00,3.37,8,0.6,https://www.fantasypros.com/nfl/players/elijah-higgins.php,23119
44,Michael Mayer,M. Mayer,LV,TE,vs. CHI,TE44,2.8,32,56,39.20,8.70,8,2.3,https://www.fantasypros.com/nfl/players/michael-mayer.php,23056
45,Luke Farrell,L. Farrell,SF,TE,vs. JAC,TE45,2.6,46,51,49.17,1.77,14,0.6,https://www.fantasypros.com/nfl/players/luke-farrell.php,19501
46,Gunnar Helm,G. Helm,TEN,TE,at HOU,TE46,2.6,39,43,41.80,1.47,10,0.8,https://www.fantasypros.com/nfl/players/gunnar-helm.php,27109
47,Lucas Krull,L. Krull,DEN,TE,vs. CIN,TE47,2.6,40,47,45.00,2.76,12,1.8,https://www.fantasypros.com/nfl/players/lucas-krull.php,24240
48,Luke Musgrave,L. Musgrave,GB,TE,at DAL,TE48,2.6,44,49,46.80,1.94,5,1.1,https://www.fantasypros.com/nfl/players/luke-musgrave.php,25282
49,Jeremy Ruckert,J. Ruckert,NYJ,TE,at MIA,TE49,2.5,47,53,50.00,2.19,9,1.2,https://www.fantasypros.com/nfl/players/jeremy-ruckert.php,23742
50,Luke Schoonmaker,L. Schoonmaker,DAL,TE,vs. GB,TE50,2.5,44,58,50.40,6.09,10,0.6,https://www.fantasypros.com/nfl/players/luke-schoonmaker.php,25267
51,Davis Allen,D. Allen,LAR,TE,vs. IND,TE51,2.5,48,55,50.80,2.32,8,1,https://www.fantasypros.com/nfl/players/davis-allen.php,23761
52,Mitchell Evans,M. Evans,CAR,TE,at NE,TE52,2.4,43,62,51.00,8.02,14,0.6,https://www.fantasypros.com/nfl/players/mitchell-evans.php,27138
53,Ben Sinnott,B. Sinnott,WAS,TE,at ATL,TE53,2.3,50,66,56.60,6.56,12,1.2,https://www.fantasypros.com/nfl/players/ben-sinnott.php,26310
54,Charlie Kolar,C. Kolar,BAL,TE,at KC,TE54,1.6,46,55,50.33,3.68,7,0.1,https://www.fantasypros.com/nfl/players/charlie-kolar.php,22756
55,Hunter Long,H. Long,JAC,TE,at SF,TE55,2.0,41,70,55.00,11.86,8,0,https://www.fantasypros.com/nfl/players/hunter-long.php,22783
56,Josh Oliver,J. Oliver,MIN,TE,at PIT,TE56,1.5,52,60,56.33,3.30,6,0.7,https://www.fantasypros.com/nfl/players/josh-oliver.php,18487
57,Darnell Washington,D. Washington,PIT,TE,vs. MIN,TE57,1.7,53,60,56.33,2.87,5,1,https://www.fantasypros.com/nfl/players/darnell-washington.php,22967
58,Harrison Bryant,H. Bryant,HOU,TE,vs. TEN,TE58,1.7,56,64,59.67,3.30,6,0,https://www.fantasypros.com/nfl/players/harrison-bryant.php,19389
59,Brock Wright,B. Wright,DET,TE,vs. CLE,TE59,1.4,48,72,60.33,9.81,8,0.6,https://www.fantasypros.com/nfl/players/brock-wright.php,23341
60,Grant Calcaterra,G. Calcaterra,PHI,TE,at TB,TE60,1.3,61,75,70.00,6.38,9,0.6,https://www.fantasypros.com/nfl/players/grant-calcaterra.php,24180
61,John FitzPatrick,J. FitzPatrick,GB,TE,at DAL,TE61,1.5,45,67,56.00,11.00,5,0,https://www.fantasypros.com/nfl/players/john-fitzpatrick.php,24181
62,Mo Alie-Cox,Mo Alie-Cox,IND,TE,at LAR,TE62,1.4,52,61,56.50,4.50,11,0.6,https://www.fantasypros.com/nfl/players/mo-alie-cox.php,16579
63,Drew Sample,D. Sample,CIN,TE,at DEN,TE63,1.4,57,59,58.00,1.00,10,1,https://www.fantasypros.com/nfl/players/drew-sample.php,18561
64,Tip Reiman,T. Reiman,ARI,TE,vs. SEA,TE64,1.4,54,66,60.00,6.00,8,0,https://www.fantasypros.com/nfl/players/tip-reiman.php,26432
65,Julian Hill,J. Hill,MIA,TE,vs. NYJ,TE65,1.1,58,62,60.00,2.00,12,0.6,https://www.fantasypros.com/nfl/players/julian-hill.php,25824
66,Kylen Granson,K. Granson,PHI,TE,at TB,TE66,1.3,54,84,74.00,14.14,9,1.2,https://www.fantasypros.com/nfl/players/kylen-granson.php,22841
67,Nate Adkins,N. Adkins,DEN,TE,vs. CIN,TE67,1.3,55,72,63.50,8.50,12,1,https://www.fantasypros.com/nfl/players/nate-adkins.php,25881
68,Daniel Bellinger,D. Bellinger,NYG,TE,vs. LAC,TE68,1.0,65,69,67.00,2.00,14,0.6,https://www.fantasypros.com/nfl/players/daniel-bellinger.php,24238
69,Charlie Woerner,C. Woerner,ATL,TE,vs. WAS,TE69,1.2,65,70,67.50,2.50,5,0,https://www.fantasypros.com/nfl/players/charlie-woerner.php,19665
70,Jackson Hawes,J. Hawes,BUF,TE,vs. NO,TE70,1.1,63,74,68.50,5.50,7,1.1,https://www.fantasypros.com/nfl/players/jackson-hawes.php,27469
71,Stone Smartt,S. Smartt,NYJ,TE,at MIA,TE71,1.1,58,98,79.33,16.44,9,1,https://www.fantasypros.com/nfl/players/stone-smartt.php,24621
72,Johnny Mundt,J. Mundt,JAC,TE,at SF,TE72,0.8,67,73,70.00,3.00,8,0,https://www.fantasypros.com/nfl/players/johnny-mundt.php,16743
73,Brevyn Spann-Ford,B. Spann-Ford,DAL,TE,vs. GB,TE73,1.0,64,78,71.00,7.00,10,0,https://www.fantasypros.com/nfl/players/brevyn-spann-ford.php,26003
74,Colby Parkinson,C. Parkinson,LAR,TE,vs. IND,TE74,0.8,71,73,72.00,1.00,8,1,https://www.fantasypros.com/nfl/players/colby-parkinson.php,19372
75,Isaiah Likely,I. Likely,BAL,TE,at KC,TE75,1.0,47,120,83.50,36.50,7,21.4,https://www.fantasypros.com/nfl/players/isaiah-likely.php,23781
76,Darren Waller,D. Waller,MIA,TE,vs. NYJ,TE76,0.9,50,117,83.50,33.50,12,11.6,https://www.fantasypros.com/nfl/players/darren-waller.php,14104
77,Eric Saubert,E. Saubert,SEA,TE,at ARI,TE77,0.9,69,81,75.00,6.00,8,1.8,https://www.fantasypros.com/nfl/players/eric-saubert.php,16706
78,Jack Stoll,J. Stoll,NO,TE,at BUF,TE78,0.9,71,80,75.50,4.50,11,0,https://www.fantasypros.com/nfl/players/jack-stoll.php,23193
79,Payne Durham,P. Durham,TB,TE,vs. PHI,TE79,0.5,76,76,76.00,0.00,9,1.1,https://www.fantasypros.com/nfl/players/payne-durham.php,25346
80,Drew Ogletree,D. Ogletree,IND,TE,at LAR,TE80,0.9,75,81,78.00,3.00,11,1.1,https://www.fantasypros.com/nfl/players/andrew-ogletree.php,24561
81,James Mitchell,J. Mitchell,CAR,TE,at NE,TE81,0.9,60,97,78.50,18.50,14,0,https://www.fantasypros.com/nfl/players/james-mitchell.php,23174
82,Chris Manhertz,C. Manhertz,NYG,TE,vs. LAC,TE82,0.9,68,92,80.00,12.00,14,0,https://www.fantasypros.com/nfl/players/chris-manhertz.php,14014
83,Colson Yankoff,C. Yankoff,WAS,TE,at ATL,TE83,0.9,78,83,80.50,2.50,12,1.1,https://www.fantasypros.com/nfl/players/colson-yankoff.php,26576
84,Tucker Fisk,T. Fisk,LAC,TE,at NYG,TE84,0.8,79,85,82.00,3.00,12,1,https://www.fantasypros.com/nfl/players/tucker-fisk.php,24921
85,Ian Thomas,I. Thomas,LV,TE,vs. CHI,TE85,0.8,77,88,82.50,5.50,8,0,https://www.fantasypros.com/nfl/players/ian-thomas.php,17387
86,Blake Whiteheart,B. Whiteheart,CLE,TE,at DET,TE86,0.8,82,85,83.50,1.50,9,0,https://www.fantasypros.com/nfl/players/blake-whiteheart.php,25657
87,Tanner Hudson,T. Hudson,CIN,TE,at DEN,TE87,0.7,68,101,84.50,16.50,10,2.3,https://www.fantasypros.com/nfl/players/tanner-hudson.php,17826
88,Connor Heyward,C. Heyward,PIT,TE,vs. MIN,TE88,0.7,86,88,87.00,1.00,5,0,https://www.fantasypros.com/nfl/players/connor-heyward.php,24562
89,Brayden Willis,B. Willis,SF,TE,vs. JAC,TE89,0.6,83,93,88.00,5.00,14,0,https://www.fantasypros.com/nfl/players/brayden-willis.php,25469
90,Robert Tonyan,R. Tonyan,KC,TE,vs. BAL,TE90,0.6,87,89,88.00,1.00,10,0,https://www.fantasypros.com/nfl/players/robert-tonyan.php,16502
91,Ben Yurosek,B. Yurosek,MIN,TE,at PIT,TE91,0.5,89,93,91.00,2.00,6,0,https://www.fantasypros.com/nfl/players/ben-yurosek.php,27843
92,Durham Smythe,D. Smythe,CHI,TE,at LV,TE92,0.5,91,94,92.50,1.50,5,1.1,https://www.fantasypros.com/nfl/players/durham-smythe.php,17508
93,Jack Westover,J. Westover,NE,TE,vs. CAR,TE93,0.5,91,94,92.50,1.50,14,0,https://www.fantasypros.com/nfl/players/jack-westover.php,26436
94,Robbie Ouzts,R. Ouzts,SEA,TE,at ARI,TE94,0.5,86,104,95.00,9.00,8,0,https://www.fantasypros.com/nfl/players/robbie-ouzts.php,27473
95,David Martin-Robinson,D. Martin-Robinson,TEN,TE,at HOU,TE95,0.0,96,107,101.50,5.50,10,0,https://www.fantasypros.com/nfl/players/david-martin-robinson.php,26922
