rank_ecr,player_name,player_short_name,player_team_id,player_positions,player_opponent,pos_rank,r2p_pts,rank_min,rank_max,rank_ave,rank_std,player_bye_week,player_owned_avg,player_page_url,player_id
1,Trey McBride,T. McBride,ARI,TE,vs. SEA,TE1,8.4,1,2,1.09,0.29,8,99.7,https://www.fantasypros.com/nfl/players/trey-mcbride.php,22936
2,Brock Bowers,B. Bowers,LV,TE,vs. CHI,TE2,8.3,1,2,1.91,0.29,8,99.7,https://www.fantasypros.com/nfl/players/brock-bowers.php,22955
3,Tucker Kraft,T. Kraft,GB,TE,at DAL,TE3,8.1,3,6,4.00,0.85,5,88,https://www.fantasypros.com/nfl/players/tucker-kraft.php,25298
4,Tyler Warren,T. Warren,IND,TE,at LAR,TE4,7.2,3,6,4.09,1.00,11,93.4,https://www.fantasypros.com/nfl/players/tyler-warren.php,26434
5,Jake Ferguson,J. Ferguson,DAL,TE,vs. GB,TE5,7.1,3,7,5.09,1.38,10,75.6,https://www.fantasypros.com/nfl/players/jake-ferguson.php,22718
6,Sam LaPorta,S. LaPorta,DET,TE,vs. CLE,TE6,6.5,4,7,5.27,0.75,8,99.2,https://www.fantasypros.com/nfl/players/sam-laporta.php,22978
7,Hunter Henry,H. Henry,NE,TE,vs. CAR,TE7,6.4,7,10,7.82,0.94,14,48.8,https://www.fantasypros.com/nfl/players/hunter-henry.php,15561
8,Dalton Kincaid,D. Kincaid,BUF,TE,vs. NO,TE8,6.0,7,12,8.45,1.78,7,77.2,https://www.fantasypros.com/nfl/players/dalton-kincaid.php,25247
9,T.J. Hockenson,T.J. Hockenson,MIN,TE,at PIT,TE9,5.7,8,9,8.73,0.45,6,96.5,https://www.fantasypros.com/nfl/players/tj-hockenson.php,18290
10,Mark Andrews,M. Andrews,BAL,TE,at KC,TE10,5.7,6,12,10.18,1.64,7,88.7,https://www.fantasypros.com/nfl/players/mark-andrews.php,17269
11,Kyle Pitts Sr.,K. Pitts Sr.,ATL,TE,vs. WAS,TE11,5.6,10,12,10.91,0.51,5,73.5,https://www.fantasypros.com/nfl/players/kyle-pitts.php,20164
12,Juwan Johnson,J. Johnson,NO,TE,at BUF,TE12,5.5,10,13,11.64,1.30,11,29,https://www.fantasypros.com/nfl/players/juwan-johnson.php,19562
13,Travis Kelce,T. Kelce,KC,TE,vs. BAL,TE13,5.4,11,16,13.36,1.23,10,98.2,https://www.fantasypros.com/nfl/players/travis-kelce.php,11594
14,Zach Ertz,Z. Ertz,WAS,TE,at ATL,TE14,5.4,11,14,13.36,0.98,12,65.4,https://www.fantasypros.com/nfl/players/zach-ertz.php,11689
15,Dallas Goedert,D. Goedert,PHI,TE,at TB,TE15,5.2,14,17,15.64,1.07,9,72.1,https://www.fantasypros.com/nfl/players/dallas-goedert.php,17270
16,David Njoku,D. Njoku,CLE,TE,at DET,TE16,5.1,14,18,16.18,1.19,9,92.6,https://www.fantasypros.com/nfl/players/david-njoku.php,16399
17,Harold Fannin Jr.,H. Fannin Jr.,CLE,TE,at DET,TE17,5.0,15,19,16.73,1.05,9,38.5,https://www.fantasypros.com/nfl/players/harold-fannin-jr.php,27050
18,Jonnu Smith,J. Smith,PIT,TE,vs. MIN,TE18,4.6,15,21,18.82,1.40,5,42,https://www.fantasypros.com/nfl/players/jonnu-smith.php,16460
19,Brenton Strange,B. Strange,JAC,TE,at SF,TE19,4.5,17,22,18.91,1.44,8,25.9,https://www.fantasypros.com/nfl/players/brenton-strange.php,25345
20,Cade Otton,C. Otton,TB,TE,vs. PHI,TE20,4.3,17,21,19.64,1.37,9,15.4,https://www.fantasypros.com/nfl/players/cade-otton.php,23181
21,Chig Okonkwo,C. Okonkwo,TEN,TE,at HOU,TE21,4.3,19,22,20.45,0.89,10,22.2,https://www.fantasypros.com/nfl/players/chigoziem-okonkwo.php,23982
22,Dalton Schultz,D. Schultz,HOU,TE,vs. TEN,TE22,4.2,21,28,22.64,1.87,6,13.5,https://www.fantasypros.com/nfl/players/dalton-schultz.php,17349
23,Jake Tonges,J. Tonges,SF,TE,vs. JAC,TE23,4.0,23,28,24.36,1.55,14,4.6,https://www.fantasypros.com/nfl/players/jake-tonges.php,24778
24,Theo Johnson,T. Johnson,NYG,TE,vs. LAC,TE24,3.9,24,30,25.64,2.06,14,4.2,https://www.fantasypros.com/nfl/players/theo-johnson.php,23104
25,Colston Loveland,C. Loveland,CHI,TE,at LV,TE25,3.6,24,28,26.18,1.11,5,57.3,https://www.fantasypros.com/nfl/players/colston-loveland.php,26006
26,Pat Freiermuth,P. Freiermuth,PIT,TE,vs. MIN,TE26,3.3,24,29,27.18,1.59,5,14,https://www.fantasypros.com/nfl/players/pat-freiermuth.php,20163
27,Cole Kmet,C. Kmet,CHI,TE,at LV,TE27,3.3,21,32,27.36,3.47,5,4,https://www.fantasypros.com/nfl/players/cole-kmet.php,19229
28,Mike Gesicki,M. Gesicki,CIN,TE,at DEN,TE28,3.2,25,30,28.00,1.48,10,5.5,https://www.fantasypros.com/nfl/players/mike-gesicki.php,17272
29,AJ Barner,AJ Barner,SEA,TE,at ARI,TE29,3.1,27,33,30.09,1.56,8,1.2,https://www.fantasypros.com/nfl/players/aj-barner.php,26335
30,Noah Gray,N. Gray,KC,TE,vs. BAL,TE30,3.0,26,40,30.82,4.06,10,1.6,https://www.fantasypros.com/nfl/players/noah-gray.php,19539
31,Mason Taylor,M. Taylor,NYJ,TE,at MIA,TE31,2.9,28,36,30.91,2.15,9,7.8,https://www.fantasypros.com/nfl/players/mason-taylor.php,26005
32,Oronde Gadsden II,O. Gadsden II,LAC,TE,at NYG,TE32,2.8,24,40,32.00,3.95,12,1,https://www.fantasypros.com/nfl/players/oronde-gadsden-ii.php,25997
33,Adam Trautman,A. Trautman,DEN,TE,vs. CIN,TE33,2.7,29,47,35.18,5.34,12,0.7,https://www.fantasypros.com/nfl/players/adam-trautman.php,19423
34,Noah Fant,N. Fant,CIN,TE,at DEN,TE34,2.7,32,52,36.82,5.31,10,2.4,https://www.fantasypros.com/nfl/players/noah-fant.php,17527
35,Ja'Tavion Sanders,J. Sanders,CAR,TE,at NE,TE35,2.7,24,42,32.25,4.89,14,6.5,https://www.fantasypros.com/nfl/players/jatavion-sanders.php,24334
36,Tyler Higbee,T. Higbee,LAR,TE,vs. IND,TE36,2.6,26,36,33.00,3.55,8,3.9,https://www.fantasypros.com/nfl/players/tyler-higbee.php,15623
37,Tyler Conklin,T. Conklin,LAC,TE,at NYG,TE37,2.5,25,39,33.60,4.88,12,1.1,https://www.fantasypros.com/nfl/players/tyler-conklin.php,17598
38,Austin Hooper,A. Hooper,NE,TE,vs. CAR,TE38,2.5,26,44,34.00,5.76,14,0.6,https://www.fantasypros.com/nfl/players/austin-hooper.php,15581
39,Dawson Knox,D. Knox,BUF,TE,vs. NO,TE39,2.5,33,40,36.20,2.32,7,1.2,https://www.fantasypros.com/nfl/players/dawson-knox.php,18631
40,Tommy Tremble,T. Tremble,CAR,TE,at NE,TE40,2.5,34,42,37.20,3.06,14,0.6,https://www.fantasypros.com/nfl/players/tommy-tremble.php,22795
41,Elijah Arroyo,E. Arroyo,SEA,TE,at ARI,TE41,2.4,31,41,37.40,3.72,8,4.4,https://www.fantasypros.com/nfl/players/elijah-arroyo.php,23004
