rank_ecr,player_name,player_short_name,player_team_id,player_positions,player_opponent,pos_rank,r2p_pts,rank_min,rank_max,rank_ave,rank_std,player_bye_week,player_owned_avg,player_page_url,player_id
1,Puka Nacua,P. Nacua,LAR,WR,vs. IND,WR1,18.0,1,1,1.00,0.00,8,99.8,https://www.fantasypros.com/nfl/players/puka-nacua.php,23180
2,Jaxon Smith-Njigba,J. Smith-Njigba,SEA,WR,at ARI,WR2,15.0,2,5,2.77,0.97,8,99.3,https://www.fantasypros.com/nfl/players/jaxon-smith-njigba.php,23070
3,Amon-Ra St. Brown,A. St. Brown,DET,WR,vs. CLE,WR3,14.7,2,6,3.38,1.15,8,99.8,https://www.fantasypros.com/nfl/players/amonra-stbrown.php,19799
4,Justin Jefferson,J. Jefferson,MIN,WR,at PIT,WR4,14.6,3,6,4.46,0.84,6,99.8,https://www.fantasypros.com/nfl/players/justin-jefferson.php,19236
5,Malik Nabers,M. Nabers,NYG,WR,vs. LAC,WR5,14.2,3,7,4.77,1.31,14,99.6,https://www.fantasypros.com/nfl/players/malik-nabers.php,25409
6,Ja'Marr Chase,J. Chase,CIN,WR,at DEN,WR6,13.6,3,8,6.31,1.38,10,99.7,https://www.fantasypros.com/nfl/players/jamarr-chase.php,19788
7,Nico Collins,N. Collins,HOU,WR,vs. TEN,WR7,13.6,4,9,6.31,1.20,6,99.7,https://www.fantasypros.com/nfl/players/nico-collins.php,20130
8,Garrett Wilson,G. Wilson,NYJ,WR,at MIA,WR8,13.4,8,11,9.23,1.19,9,98.6,https://www.fantasypros.com/nfl/players/garrett-wilson.php,23072
9,Drake London,D. London,ATL,WR,vs. WAS,WR9,12.4,5,13,9.46,2.21,5,99.6,https://www.fantasypros.com/nfl/players/drake-london.php,23163
10,Davante Adams,D. Adams,LAR,WR,vs. IND,WR10,12.3,7,11,9.54,1.28,8,98.2,https://www.fantasypros.com/nfl/players/davante-adams.php,12123
11,Rome Odunze,R. Odunze,CHI,WR,at LV,WR11,12.3,9,13,11.08,1.33,5,93.4,https://www.fantasypros.com/nfl/players/rome-odunze.php,25411
12,A.J. Brown,A.J. Brown,PHI,WR,at TB,WR12,12.2,9,16,12.15,2.21,9,99.8,https://www.fantasypros.com/nfl/players/aj-brown.php,18218
13,Zay Flowers,Z. Flowers,BAL,WR,at KC,WR13,12.1,8,15,13.00,1.84,7,97.3,https://www.fantasypros.com/nfl/players/zay-flowers.php,22916
14,Tetairoa McMillan,T. McMillan,CAR,WR,at NE,WR14,12.0,13,19,15.15,1.96,14,95.6,https://www.fantasypros.com/nfl/players/tetairoa-mcmillan.php,25417
15,Emeka Egbuka,E. Egbuka,TB,WR,vs. PHI,WR15,11.6,13,21,16.15,2.63,9,93.1,https://www.fantasypros.com/nfl/players/emeka-egbuka.php,23062
16,George Pickens,G. Pickens,DAL,WR,vs. GB,WR16,11.6,15,26,17.31,2.89,10,95.6,https://www.fantasypros.com/nfl/players/george-pickens.php,22963
17,Tyreek Hill,T. Hill,MIA,WR,vs. NYJ,WR17,11.5,14,24,18.46,3.34,12,99.1,https://www.fantasypros.com/nfl/players/tyreek-hill.php,15802
18,Ladd McConkey,L. McConkey,LAC,WR,at NYG,WR18,11.3,16,22,18.54,1.82,12,99.3,https://www.fantasypros.com/nfl/players/ladd-mcconkey.php,26122
19,Ricky Pearsall,R. Pearsall,SF,WR,vs. JAC,WR19,11.3,14,25,19.54,3.41,14,89.4,https://www.fantasypros.com/nfl/players/ricky-pearsall.php,26214
20,Courtland Sutton,C. Sutton,DEN,WR,vs. CIN,WR20,11.2,16,23,19.54,2.06,12,95.3,https://www.fantasypros.com/nfl/players/courtland-sutton.php,17253
21,Brian Thomas Jr.,B. Thomas Jr.,JAC,WR,at SF,WR21,10.9,15,28,21.54,3.27,8,99.4,https://www.fantasypros.com/nfl/players/brian-thomas-jr.php,23000
22,Keenan Allen,K. Allen,LAC,WR,at NYG,WR22,10.7,17,31,21.92,3.85,12,78.9,https://www.fantasypros.com/nfl/players/keenan-allen.php,11616
23,Jakobi Meyers,J. Meyers,LV,WR,vs. CHI,WR23,10.7,15,26,22.08,2.97,8,91,https://www.fantasypros.com/nfl/players/jakobi-meyers.php,18598
24,Deebo Samuel Sr.,D. Samuel Sr.,WAS,WR,at ATL,WR24,10.6,20,27,22.38,1.98,12,90.8,https://www.fantasypros.com/nfl/players/deebo-samuel.php,18244
25,Marvin Harrison Jr.,M. Harrison Jr.,ARI,WR,vs. SEA,WR25,10.6,21,29,24.85,2.54,8,98.1,https://www.fantasypros.com/nfl/players/marvin-harrison-jr.php,23064
26,DK Metcalf,DK Metcalf,PIT,WR,vs. MIN,WR26,10.5,21,29,25.31,1.98,5,98,https://www.fantasypros.com/nfl/players/dk-metcalf.php,18219
27,Jameson Williams,J. Williams,DET,WR,vs. CLE,WR27,10.2,21,30,26.46,2.02,8,94.5,https://www.fantasypros.com/nfl/players/jameson-williams.php,23677
28,DeVonta Smith,D. Smith,PHI,WR,at TB,WR28,9.9,25,34,29.31,2.13,9,95.2,https://www.fantasypros.com/nfl/players/devonta-smith.php,19222
29,Quentin Johnston,Q. Johnston,LAC,WR,at NYG,WR29,9.8,25,35,30.23,2.52,12,29.4,https://www.fantasypros.com/nfl/players/quentin-johnston.php,23123
30,Michael Pittman Jr.,M. Pittman Jr.,IND,WR,at LAR,WR30,9.7,28,35,30.54,1.65,11,80.9,https://www.fantasypros.com/nfl/players/michael-pittman.php,19278
31,Chris Olave,C. Olave,NO,WR,at BUF,WR31,9.7,19,33,30.62,3.65,11,90.3,https://www.fantasypros.com/nfl/players/chris-olave.php,20111
32,DJ Moore,DJ Moore,CHI,WR,at LV,WR32,9.7,28,34,30.62,1.64,5,95.2,https://www.fantasypros.com/nfl/players/dj-moore-wr.php,17265
33,Tee Higgins,T. Higgins,CIN,WR,at DEN,WR33,9.7,25,39,33.08,3.45,10,99.2,https://www.fantasypros.com/nfl/players/tee-higgins.php,19211
34,Jaylen Waddle,J. Waddle,MIA,WR,vs. NYJ,WR34,9.5,29,39,33.69,2.23,12,93.4,https://www.fantasypros.com/nfl/players/jaylen-waddle.php,19790
35,Khalil Shakir,K. Shakir,BUF,WR,vs. NO,WR35,9.3,35,42,37.46,2.06,7,79.8,https://www.fantasypros.com/nfl/players/khalil-shakir.php,23748
36,Calvin Ridley,C. Ridley,TEN,WR,at HOU,WR36,9.3,34,43,38.31,2.49,10,91.4,https://www.fantasypros.com/nfl/players/calvin-ridley.php,17258
37,Jordan Addison,J. Addison,MIN,WR,at PIT,WR37,9.2,34,53,39.23,4.96,6,83,https://www.fantasypros.com/nfl/players/jordan-addison.php,23107
38,Jerry Jeudy,J. Jeudy,CLE,WR,at DET,WR38,8.8,37,46,41.46,2.56,9,91.5,https://www.fantasypros.com/nfl/players/jerry-jeudy.php,19201
39,Wan'Dale Robinson,W. Robinson,NYG,WR,vs. LAC,WR39,8.8,35,49,41.54,4.14,14,37,https://www.fantasypros.com/nfl/players/wandale-robinson.php,22985
40,Cedric Tillman,C. Tillman,CLE,WR,at DET,WR40,8.7,38,58,42.62,6.18,9,40.8,https://www.fantasypros.com/nfl/players/cedric-tillman.php,25287
41,Keon Coleman,K. Coleman,BUF,WR,vs. NO,WR41,8.6,36,51,42.69,3.81,7,79.8,https://www.fantasypros.com/nfl/players/keon-coleman.php,26019
42,Romeo Doubs,R. Doubs,GB,WR,at DAL,WR42,8.5,40,51,42.77,2.72,5,23.6,https://www.fantasypros.com/nfl/players/romeo-doubs.php,23794
43,Terry McLaurin,T. McLaurin,WAS,WR,at ATL,WR43,8.4,26,109,43.85,21.08,12,98.4,https://www.fantasypros.com/nfl/players/terry-mclaurin.php,18466
44,Matthew Golden,M. Golden,GB,WR,at DAL,WR44,8.4,39,50,44.46,3.54,5,82.5,https://www.fantasypros.com/nfl/players/matthew-golden.php,26024
45,Darnell Mooney,D. Mooney,ATL,WR,vs. WAS,WR45,8.4,41,50,45.62,2.20,5,59.1,https://www.fantasypros.com/nfl/players/darnell-mooney.php,19810
46,Marquise Brown,M. Brown,KC,WR,vs. BAL,WR46,8.4,33,56,47.00,5.72,10,46.2,https://www.fantasypros.com/nfl/players/marquise-brown.php,18226
47,Travis Hunter,T. Hunter,JAC,WR,at SF,WR47,8.3,41,56,47.08,4.08,8,93.7,https://www.fantasypros.com/nfl/players/travis-hunter.php,26034
48,Stefon Diggs,S. Diggs,NE,WR,vs. CAR,WR48,7.9,42,54,49.46,3.34,14,86.4,https://www.fantasypros.com/nfl/players/stefon-diggs.php,13981
49,Kayshon Boutte,K. Boutte,NE,WR,vs. CAR,WR49,7.9,46,57,50.38,3.61,14,9,https://www.fantasypros.com/nfl/players/kayshon-boutte.php,22989
50,Tre Tucker,T. Tucker,LV,WR,vs. CHI,WR50,7.8,47,62,51.15,3.96,8,6.6,https://www.fantasypros.com/nfl/players/tre-tucker.php,25337
51,Josh Downs,J. Downs,IND,WR,at LAR,WR51,7.8,44,56,51.31,3.95,11,66.1,https://www.fantasypros.com/nfl/players/josh-downs.php,24706
52,Elic Ayomanor,E. Ayomanor,TEN,WR,at HOU,WR52,7.7,48,56,51.46,2.10,10,25.2,https://www.fantasypros.com/nfl/players/elic-ayomanor.php,27059
53,Xavier Worthy,X. Worthy,KC,WR,vs. BAL,WR53,7.6,35,86,52.08,13.04,10,94.7,https://www.fantasypros.com/nfl/players/xavier-worthy.php,23019
54,Troy Franklin,T. Franklin,DEN,WR,vs. CIN,WR54,7.5,37,63,52.54,7.65,12,33.3,https://www.fantasypros.com/nfl/players/troy-franklin.php,23092
55,Rashid Shaheed,R. Shaheed,NO,WR,at BUF,WR55,7.5,45,60,53.46,4.03,11,69,https://www.fantasypros.com/nfl/players/rashid-shaheed.php,24687
56,Tyquan Thornton,T. Thornton,KC,WR,vs. BAL,WR56,7.4,42,66,54.77,7.32,10,1.7,https://www.fantasypros.com/nfl/players/tyquan-thornton.php,22913
57,Christian Kirk,C. Kirk,HOU,WR,vs. TEN,WR57,7.4,49,61,55.38,3.03,6,37.4,https://www.fantasypros.com/nfl/players/christian-kirk.php,17268
58,Cooper Kupp,C. Kupp,SEA,WR,at ARI,WR58,7.4,50,60,56.62,3.50,8,85.9,https://www.fantasypros.com/nfl/players/cooper-kupp.php,16433
59,Dontayvion Wicks,D. Wicks,GB,WR,at DAL,WR59,7.4,52,64,58.08,3.38,5,3.1,https://www.fantasypros.com/nfl/players/dontayvion-wicks.php,24354
60,Calvin Austin III,C. Austin III,PIT,WR,vs. MIN,WR60,7.2,54,66,60.69,2.67,5,9.4,https://www.fantasypros.com/nfl/players/calvin-austin.php,23739
61,Tory Horton,T. Horton,SEA,WR,at ARI,WR61,6.9,57,70,62.38,4.11,8,4.3,https://www.fantasypros.com/nfl/players/tory-horton.php,26022
62,Marvin Mims Jr.,M. Mims Jr.,DEN,WR,vs. CIN,WR62,6.9,61,71,63.69,2.61,12,42.1,https://www.fantasypros.com/nfl/players/marvin-mims.php,23080
63,Rashod Bateman,R. Bateman,BAL,WR,at KC,WR63,6.8,55,71,64.69,4.30,7,32.1,https://www.fantasypros.com/nfl/players/rashod-bateman.php,19794
64,KaVontae Turpin,K. Turpin,DAL,WR,vs. GB,WR64,6.7,60,73,66.00,3.72,10,4.1,https://www.fantasypros.com/nfl/players/kavontae-turpin.php,18520
65,Joshua Palmer,J. Palmer,BUF,WR,vs. NO,WR65,6.6,62,70,66.77,2.72,7,20.5,https://www.fantasypros.com/nfl/players/josh-palmer.php,22845
66,Hunter Renfrow,H. Renfrow,CAR,WR,at NE,WR66,6.5,55,74,66.92,5.58,14,2.9,https://www.fantasypros.com/nfl/players/hunter-renfrow.php,18345
67,DeAndre Hopkins,D. Hopkins,BAL,WR,at KC,WR67,6.5,62,73,67.23,3.33,7,16.8,https://www.fantasypros.com/nfl/players/deandre-hopkins.php,11606
68,Sterling Shepard,S. Shepard,TB,WR,vs. PHI,WR68,6.3,58,81,70.69,6.75,9,1,https://www.fantasypros.com/nfl/players/sterling-shepard.php,15569
69,DeMario Douglas,D. Douglas,NE,WR,vs. CAR,WR69,6.1,66,77,70.69,3.81,14,18.7,https://www.fantasypros.com/nfl/players/demario-douglas.php,25304
70,JuJu Smith-Schuster,J. Smith-Schuster,KC,WR,vs. BAL,WR70,6.1,59,100,72.23,11.79,10,2.2,https://www.fantasypros.com/nfl/players/juju-smith-schuster.php,16427
71,Jauan Jennings,J. Jennings,SF,WR,vs. JAC,WR71,6.1,34,177,72.77,39.40,14,82.3,https://www.fantasypros.com/nfl/players/jauan-jennings.php,19590
72,Kendrick Bourne,K. Bourne,SF,WR,vs. JAC,WR72,5.7,66,80,73.31,4.27,14,0.8,https://www.fantasypros.com/nfl/players/kendrick-bourne.php,17066
73,Dont'e Thornton Jr.,D. Thornton Jr.,LV,WR,vs. CHI,WR73,5.7,66,81,74.00,3.86,8,14.7,https://www.fantasypros.com/nfl/players/donte-thornton-jr.php,27288
