rank_ecr,player_name,player_short_name,player_team_id,player_positions,player_opponent,pos_rank,r2p_pts,rank_min,rank_max,rank_ave,rank_std,player_bye_week,player_owned_avg,player_page_url,player_id
1,Puka Nacua,P. Nacua,LAR,WR,vs. IND,WR1,14.0,1,1,1.00,0.00,8,99.8,https://www.fantasypros.com/nfl/players/puka-nacua.php,23180
2,Jaxon Smith-Njigba,J. Smith-Njigba,SEA,WR,at ARI,WR2,12.2,2,8,3.36,1.67,8,99.3,https://www.fantasypros.com/nfl/players/jaxon-smith-njigba.php,23070
3,Justin Jefferson,J. Jefferson,MIN,WR,at PIT,WR3,11.9,2,4,3.82,0.57,6,99.8,https://www.fantasypros.com/nfl/players/justin-jefferson.php,19236
4,Amon-Ra St. Brown,A. St. Brown,DET,WR,vs. CLE,WR4,11.6,2,8,4.55,2.15,8,99.8,https://www.fantasypros.com/nfl/players/amonra-stbrown.php,19799
5,Nico Collins,N. Collins,HOU,WR,vs. TEN,WR5,11.2,4,6,4.91,0.67,6,99.7,https://www.fantasypros.com/nfl/players/nico-collins.php,20130
6,Malik Nabers,M. Nabers,NYG,WR,vs. LAC,WR6,10.6,2,7,5.64,1.77,14,99.6,https://www.fantasypros.com/nfl/players/malik-nabers.php,25409
7,Ja'Marr Chase,J. Chase,CIN,WR,at DEN,WR7,10.5,3,8,6.09,1.31,10,99.7,https://www.fantasypros.com/nfl/players/jamarr-chase.php,19788
8,Davante Adams,D. Adams,LAR,WR,vs. IND,WR8,10.1,7,12,9.73,1.21,8,98.2,https://www.fantasypros.com/nfl/players/davante-adams.php,12123
9,Drake London,D. London,ATL,WR,vs. WAS,WR9,10.0,5,13,10.09,2.39,5,99.6,https://www.fantasypros.com/nfl/players/drake-london.php,23163
10,Garrett Wilson,G. Wilson,NYJ,WR,at MIA,WR10,9.8,8,12,10.18,1.85,9,98.6,https://www.fantasypros.com/nfl/players/garrett-wilson.php,23072
11,A.J. Brown,A.J. Brown,PHI,WR,at TB,WR11,9.8,8,13,10.73,1.54,9,99.8,https://www.fantasypros.com/nfl/players/aj-brown.php,18218
12,Rome Odunze,R. Odunze,CHI,WR,at LV,WR12,9.7,8,14,10.82,1.75,5,93.4,https://www.fantasypros.com/nfl/players/rome-odunze.php,25411
13,Zay Flowers,Z. Flowers,BAL,WR,at KC,WR13,9.5,7,15,12.27,2.30,7,97.3,https://www.fantasypros.com/nfl/players/zay-flowers.php,22916
14,George Pickens,G. Pickens,DAL,WR,vs. GB,WR14,9.4,13,20,15.09,1.83,10,95.6,https://www.fantasypros.com/nfl/players/george-pickens.php,22963
15,Emeka Egbuka,E. Egbuka,TB,WR,vs. PHI,WR15,9.2,14,21,16.18,2.44,9,93.1,https://www.fantasypros.com/nfl/players/emeka-egbuka.php,23062
16,Tetairoa McMillan,T. McMillan,CAR,WR,at NE,WR16,9.1,14,20,16.36,1.61,14,95.6,https://www.fantasypros.com/nfl/players/tetairoa-mcmillan.php,25417
17,Ladd McConkey,L. McConkey,LAC,WR,at NYG,WR17,9.0,16,21,17.91,1.62,12,99.3,https://www.fantasypros.com/nfl/players/ladd-mcconkey.php,26122
18,Ricky Pearsall,R. Pearsall,SF,WR,vs. JAC,WR18,8.9,15,24,19.36,2.60,14,89.4,https://www.fantasypros.com/nfl/players/ricky-pearsall.php,26214
19,Courtland Sutton,C. Sutton,DEN,WR,vs. CIN,WR19,8.9,15,23,19.36,2.57,12,95.3,https://www.fantasypros.com/nfl/players/courtland-sutton.php,17253
20,Brian Thomas Jr.,B. Thomas Jr.,JAC,WR,at SF,WR20,8.8,13,25,19.64,3.08,8,99.4,https://www.fantasypros.com/nfl/players/brian-thomas-jr.php,23000
21,Tyreek Hill,T. Hill,MIA,WR,vs. NYJ,WR21,8.8,15,24,20.00,3.46,12,99.1,https://www.fantasypros.com/nfl/players/tyreek-hill.php,15802
22,Deebo Samuel Sr.,D. Samuel Sr.,WAS,WR,at ATL,WR22,8.7,19,23,20.73,1.48,12,90.8,https://www.fantasypros.com/nfl/players/deebo-samuel.php,18244
23,Jameson Williams,J. Williams,DET,WR,vs. CLE,WR23,8.4,20,25,22.45,1.62,8,94.5,https://www.fantasypros.com/nfl/players/jameson-williams.php,23677
24,Keenan Allen,K. Allen,LAC,WR,at NYG,WR24,8.3,21,31,23.82,2.92,12,78.9,https://www.fantasypros.com/nfl/players/keenan-allen.php,11616
25,Marvin Harrison Jr.,M. Harrison Jr.,ARI,WR,vs. SEA,WR25,8.3,22,28,24.73,2.05,8,98.1,https://www.fantasypros.com/nfl/players/marvin-harrison-jr.php,23064
26,DK Metcalf,DK Metcalf,PIT,WR,vs. MIN,WR26,8.3,20,27,25.27,1.81,5,98,https://www.fantasypros.com/nfl/players/dk-metcalf.php,18219
27,Jakobi Meyers,J. Meyers,LV,WR,vs. CHI,WR27,8.1,25,29,26.91,1.08,8,91,https://www.fantasypros.com/nfl/players/jakobi-meyers.php,18598
28,Quentin Johnston,Q. Johnston,LAC,WR,at NYG,WR28,7.8,26,32,28.91,1.78,12,29.4,https://www.fantasypros.com/nfl/players/quentin-johnston.php,23123
29,DeVonta Smith,D. Smith,PHI,WR,at TB,WR29,7.7,27,38,29.91,2.81,9,95.2,https://www.fantasypros.com/nfl/players/devonta-smith.php,19222
30,DJ Moore,DJ Moore,CHI,WR,at LV,WR30,7.6,29,35,31.00,1.95,5,95.2,https://www.fantasypros.com/nfl/players/dj-moore-wr.php,17265
31,Tee Higgins,T. Higgins,CIN,WR,at DEN,WR31,7.6,24,35,31.45,2.87,10,99.2,https://www.fantasypros.com/nfl/players/tee-higgins.php,19211
32,Michael Pittman Jr.,M. Pittman Jr.,IND,WR,at LAR,WR32,7.6,31,37,32.09,1.83,11,80.9,https://www.fantasypros.com/nfl/players/michael-pittman.php,19278
33,Chris Olave,C. Olave,NO,WR,at BUF,WR33,7.4,30,35,32.73,1.54,11,90.3,https://www.fantasypros.com/nfl/players/chris-olave.php,20111
34,Calvin Ridley,C. Ridley,TEN,WR,at HOU,WR34,7.3,33,40,35.09,2.31,10,91.4,https://www.fantasypros.com/nfl/players/calvin-ridley.php,17258
35,Jaylen Waddle,J. Waddle,MIA,WR,vs. NYJ,WR35,7.3,34,37,35.27,0.96,12,93.4,https://www.fantasypros.com/nfl/players/jaylen-waddle.php,19790
